Nom Reg,Code Reg,Comuna,Code comuna,Distrito,N Constituyentes,N de Candidatos,Pob Comuna,Pob Distrito,ppm
Biobío,8,Arauco,8202,21,5,39,38.679,645.656,8
Biobío,8,Lebu,8201,21,5,39,27.100,645.656,8
Biobío,8,Lota,8106,21,5,39,45.750,645.656,8
Araucanía,9,Victoria,9211,22,4,31,35.467,312.893,13
Araucanía,9,Traiguen,9210,22,4,31,19.314,312.893,13
Araucanía,9,Renaico,9209,22,4,31,10.833,312.893,13
Araucanía,9,Puren,9208,22,4,31,12.188,312.893,13
Araucanía,9,Lumaco,9207,22,4,31,10.050,312.893,13
Araucanía,9,Los Sauces,9206,22,4,31,7.517,312.893,13
Araucanía,9,Lonquimay,9205,22,4,31,11.049,312.893,13
Araucanía,9,Ercilla,9204,22,4,31,8.458,312.893,13
Araucanía,9,Curacautin,9203,22,4,31,18.178,312.893,13
Araucanía,9,Collipulli,9202,22,4,31,26.148,312.893,13
Araucanía,9,Angol,9201,22,4,31,56.058,312.893,13
Araucanía,9,Vilcun,9119,22,4,31,30.766,312.893,13
Araucanía,9,Perquenco,9113,22,4,31,7.223,312.893,13
Araucanía,9,Melipeuco,9110,22,4,31,6.265,312.893,13
Araucanía,9,Lautaro,9108,22,4,31,40.746,312.893,13
Araucanía,9,Galvarino,9106,22,4,31,12.633,312.893,13
Araucanía,9,Cholchol,9121,23,7,56,12.341,701.450,10
Araucanía,9,Villarrica,9120,23,7,56,59.103,701.450,10
Araucanía,9,Tolten,9118,23,7,56,10.055,701.450,10
Araucanía,9,Teodoro Schmidt,9117,23,7,56,15.786,701.450,10
Araucanía,9,Saavedra,9116,23,7,56,12.793,701.450,10
Araucanía,9,Pucon,9115,23,7,56,29.782,701.450,10
Araucanía,9,Pitrufquen,9114,23,7,56,26.096,701.450,10
Araucanía,9,Padre Las Casas,9112,23,7,56,82.110,701.450,10
Araucanía,9,Nueva Imperial,9111,23,7,56,33.777,701.450,10
Araucanía,9,Loncoche,9109,23,7,56,24.739,701.450,10
Araucanía,9,Gorbea,9107,23,7,56,15.148,701.450,10
Araucanía,9,Freire,9105,23,7,56,25.446,701.450,10
Araucanía,9,Curarrehue,9104,23,7,56,7.802,701.450,10
Araucanía,9,Cunco,9103,23,7,56,18.055,701.450,10
Araucanía,9,Carahue,9102,23,7,56,25.486,701.450,10
Araucanía,9,Temuco,9101,23,7,56,302.931,701.450,10
Los Ríos,14,Rio Bueno,14204,24,5,40,32.925,405.835,12
Los Ríos,14,Lago Ranco,14203,24,5,40,10.292,405.835,12
Los Ríos,14,Futrono,14202,24,5,40,15.261,405.835,12
Los Ríos,14,La Union,14201,24,5,40,39.538,405.835,12
Los Ríos,14,Panguipulli,14108,24,5,40,35.991,405.835,12
Los Ríos,14,Paillaco,14107,24,5,40,20.798,405.835,12
Los Ríos,14,Mariquina,14106,24,5,40,23.250,405.835,12
Los Ríos,14,Mafil,14105,24,5,40,7.389,405.835,12
Los Ríos,14,Los Lagos,14104,24,5,40,20.518,405.835,12
Los Ríos,14,Lanco,14103,24,5,40,17.652,405.835,12
Los Ríos,14,Corral,14102,24,5,40,5.447,405.835,12
Los Ríos,14,Valdivia,14101,24,5,40,176.774,405.835,12
Los Lagos,10,San Pablo,10307,25,4,28,10.553,365.873,11
Los Lagos,10,San Juan de la Costa,10306,25,4,28,7.639,365.873,11
Los Lagos,10,Rio Negro,10305,25,4,28,14.275,365.873,11
Los Lagos,10,Puyehue,10304,25,4,28,11.787,365.873,11
Los Lagos,10,Purranque,10303,25,4,28,21.080,365.873,11
Los Lagos,10,Puerto Octay,10302,25,4,28,9.192,365.873,11
Los Lagos,10,Osorno,10301,25,4,28,173.410,365.873,11
Los Lagos,10,Puerto Varas,10109,25,4,28,48.620,365.873,11
Los Lagos,10,Llanquihue,10107,25,4,28,18.621,365.873,11
Los Lagos,10,Los Muermos,10106,25,4,28,17.817,365.873,11
Los Lagos,10,Frutillar,10105,25,4,28,20.223,365.873,11
Los Lagos,10,Fresia,10104,25,4,28,12.656,365.873,11
Los Lagos,10,Palena,10404,26,5,34,1.827,525.567,10
Los Lagos,10,Hualaihue,10403,26,5,34,9.525,525.567,10
Los Lagos,10,Futaleufu,10402,26,5,34,2.806,525.567,10
Los Lagos,10,Chaiten,10401,26,5,34,5.020,525.567,10
Los Lagos,10,Quinchao,10210,26,5,34,8.298,525.567,10
Los Lagos,10,Quemchi,10209,26,5,34,8.783,525.567,10
Los Lagos,10,Quellon,10208,26,5,34,29.309,525.567,10
Los Lagos,10,Queilen,10207,26,5,34,5.543,525.567,10
Los Lagos,10,Puqueldon,10206,26,5,34,4.201,525.567,10
Los Lagos,10,Dalcahue,10205,26,5,34,15.069,525.567,10
Los Lagos,10,Curaco de Velez,10204,26,5,34,4.066,525.567,10
Los Lagos,10,Chonchi,10203,26,5,34,16.013,525.567,10
Los Lagos,10,Ancud,10202,26,5,34,42.458,525.567,10
Los Lagos,10,Castro,10201,26,5,34,47.607,525.567,10
Los Lagos,10,Maullin,10108,26,5,34,14.894,525.567,10
Los Lagos,10,Cochamo,10103,26,5,34,4.006,525.567,10
Los Lagos,10,Calbuco,10102,26,5,34,36.744,525.567,10
Los Lagos,10,Puerto Montt,10101,26,5,34,269.398,525.567,10
Aysén,11,Rio Ibañez,11402,27,3,26,2.699,107.297,28
Aysén,11,Chile Chico,11401,27,3,26,5.121,107.297,28
Aysén,11,Tortel,11303,27,3,26,572,107.297,28
Aysén,11,OHiggins,11302,27,3,26,661,107.297,28
Aysén,11,Cochrane,11301,27,3,26,3.685,107.297,28
Aysén,11,Guaitecas,11203,27,3,26,1.599,107.297,28
Aysén,11,Cisnes,11202,27,3,26,5.828,107.297,28
Aysén,11,Aysen,11201,27,3,26,25.002,107.297,28
Aysén,11,Lago Verde,11102,27,3,26,920,107.297,28
Aysén,11,Coyhaique,11101,27,3,26,61.210,107.297,28
Magallanes,12,Torres del Paine,12402,28,3,35,1.021,178.362,17
Magallanes,12,Natales,12401,28,3,35,23.782,178.362,17
Magallanes,12,Timaukel,12303,28,3,35,282,178.362,17
Magallanes,12,Primavera,12302,28,3,35,694,178.362,17
Magallanes,12,Porvenir,12301,28,3,35,7.323,178.362,17
Magallanes,12,Antartica,12202,28,3,35,137,178.362,17
Magallanes,12,Cabo de Hornos,12201,28,3,35,1.983,178.362,17
Magallanes,12,San Gregorio,12104,28,3,35,681,178.362,17
Magallanes,12,Rio Verde,12103,28,3,35,211,178.362,17
Magallanes,12,Laguna Blanca,12102,28,3,35,264,178.362,17
Magallanes,12,Punta Arenas,12101,28,3,35,141.984,178.362,17
